SMILES,QED,LogP,Molecular_Weight,TPSA,HBA,HBD,Rotatable_Bonds,Aromatic_Rings,Heavy_Atoms,Rings,Formal_Charge,Lipinski_Violations
[N+]c1cc(N2CCN(c3ccc(N4CCCC4)cc3)CC2)ccc1O,0.9360121004496844,3.019200000000002,336.4390000000001,52.25,4,1,3,2,25,4,1,0
Cc1cccc(C2CN=C3CC(C)(C)N=C2SC(N)=N3)c1OCCO,0.8626435181248503,2.4905200000000005,360.4830000000002,92.56,7,2,4,1,25,4,0,0
COc1cc(OC)c(S(=O)(=O)Nc2ccc(C)nn2)cc1Cl.Cl,0.8578879758585075,2.678220000000001,380.253,90.41,6,1,5,2,23,2,0,0
Nc1nc(N)nc(N2CCN(c3ccc(C(F)(F)F)cc3)CC2)n1,0.8529251524910387,1.3814,339.3250000000001,97.18999999999998,7,2,2,2,24,3,0,0
Cc1ccccc1NS(=O)(=O)c1ccc(N2CCCC2=O)cc1Cl.N,0.8415705460406186,3.7380200000000015,381.88500000000016,101.48,4,2,4,2,25,3,0,0
CCOc1c(CC)cc(NS(=O)(=O)c2ccc(N)nc2)c(C)c1C,0.8357151668422942,3.0425400000000016,349.45600000000013,94.31,5,2,6,2,24,2,0,0
Cc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,0.8250046604972081,0.9481199999999999,368.84900000000005,132.10999999999999,7,2,4,2,21,2,0,0
Cc1ccc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1C,0.8114656826106119,2.6816400000000007,350.46500000000015,89.25999999999999,4,2,5,2,23,2,0,0
Cc1cc(C)nc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,0.8030326812090572,2.0766400000000003,351.4530000000001,102.15,5,2,5,2,23,2,0,0
CCC(Cc1ccc(C(F)(F)F)cc1Cl)Nc1nccc(N(C)C)n1,0.8010705654938702,4.648000000000004,372.82200000000006,41.050000000000004,4,1,6,2,25,2,0,0
C.CCNC(=O)c1cn(CCOc2ccc(C(F)(F)F)cc2)cc1Cl,0.7986583623585635,4.625100000000004,376.80600000000004,43.260000000000005,3,1,6,2,25,2,0,0
Cc1ccc(S(=O)(=O)Nc2ccc(-n3cnnc3)cc2)c(C)c1,0.7986279829485412,2.684940000000001,328.3970000000001,76.88,5,1,4,3,23,3,0,0
COc1cccc(-n2cnc3cc(F)c(NS(C)(=O)=O)cc32)c1,0.7951013289599635,2.5447000000000006,335.36000000000007,73.22,5,1,4,3,23,3,0,0
COc1cc(C(=O)NCc2ccc(NC(C)=O)cc2)cc(OC)c1OC,0.7945476998698513,2.6008000000000004,358.3940000000002,85.89000000000001,5,2,7,2,26,2,0,0
CN(C)c1cccc(-c2cc(C(=O)O)c(SCC(=O)O)n2C)c1,0.7903689627039768,2.633000000000001,334.39700000000005,82.77000000000001,5,2,6,2,23,2,0,0
COC1Cc2cccc(-c3noc(-c4ccc(O)nc4)n3)c2CC1=O,0.7818777547646428,2.1868999999999996,337.3350000000001,98.34,7,1,3,3,25,4,0,0
O.O=C(O)c1ccc(N2C(=O)CSC2c2ccc(F)nc2)cc1Br,0.7770627324576234,2.635300000000001,415.24,101.99999999999999,4,1,3,2,24,3,0,0
